path,h1,h2_first,lang,size_bytes,last_commit_date,last_author
docs/_internal/to_refactoring/modules/backend-event/backend-event-service/runbook.md,,Мониторинг,mixed,653,N/A,N/A
docs/_internal/to_refactoring/modules/backend-gateway/README.md,,Описание,mixed,1484,N/A,N/A
docs/_internal/to_refactoring/modules/backend-gateway/changelog.md,,[Unreleased],mixed,515,N/A,N/A
docs/_internal/to_refactoring/modules/backend-gateway/runbook.md,,Мониторинг,mixed,653,N/A,N/A
docs/_internal/to_refactoring/modules/backend-infra/CI-README.md,CI/CD (GitHub Actions),Workflows,mixed,2269,N/A,N/A
docs/_internal/to_refactoring/modules/backend-infra/DEVELOPER.md,AquaStream Backend - Developer Guide,📋 Оглавление,mixed,40608,N/A,N/A
docs/_internal/to_refactoring/modules/backend-infra/README.md,Backend Infra Overview,Быстрый старт,mixed,2272,N/A,N/A
docs/_internal/to_refactoring/modules/backend-infra/RELEASES.md,AquaStream Release Process,Semantic Versioning (SemVer),en,9924,N/A,N/A
docs/_internal/to_refactoring/modules/backend-infra/aquastream-backend-spec-complete.md,AquaStream Backend - Техническая спецификация,Оглавление,mixed,27461,N/A,N/A
docs/_internal/to_refactoring/modules/backend-infra/backup/README.md,Бэкапы PostgreSQL (per-schema),Что делает `backup.sh`,mixed,3146,N/A,N/A
docs/_internal/to_refactoring/modules/backend-infra/changelog.md,Changelog — Infra,[Unreleased],mixed,2030,N/A,N/A
docs/_internal/to_refactoring/modules/backend-infra/docker/README.md,Docker Compose (dev|stage|prod),Профили,mixed,5435,N/A,N/A
docs/_internal/to_refactoring/modules/backend-infra/runbook.md,,Мониторинг,mixed,652,N/A,N/A
docs/_internal/to_refactoring/modules/backend-media/README.md,AquaStream Backend Media Service,Описание,mixed,21541,N/A,N/A
docs/_internal/to_refactoring/modules/backend-media/backend-media-service/README.md,,Контекст,mixed,911,N/A,N/A
docs/_internal/to_refactoring/modules/backend-media/backend-media-service/changelog.md,,[Unreleased],mixed,515,N/A,N/A
docs/_internal/to_refactoring/modules/backend-media/backend-media-service/runbook.md,,Мониторинг,mixed,653,N/A,N/A
docs/_internal/to_refactoring/modules/backend-notification/README.md,AquaStream Backend Notification Service,Описание,mixed,26000,N/A,N/A
docs/_internal/to_refactoring/modules/backend-notification/backend-notification-service/README.md,,Контекст,mixed,911,N/A,N/A
docs/_internal/to_refactoring/modules/backend-notification/backend-notification-service/changelog.md,,[Unreleased],mixed,515,N/A,N/A
docs/_internal/to_refactoring/modules/backend-notification/backend-notification-service/runbook.md,,Мониторинг,mixed,653,N/A,N/A
docs/_internal/to_refactoring/modules/backend-payment/README.md,AquaStream Backend Payment Service,Описание,mixed,21282,N/A,N/A
docs/_internal/to_refactoring/modules/backend-payment/backend-payment-service/README.md,,Контекст,mixed,911,N/A,N/A
docs/_internal/to_refactoring/modules/backend-payment/backend-payment-service/changelog.md,,[Unreleased],mixed,515,N/A,N/A
docs/_internal/to_refactoring/modules/backend-payment/backend-payment-service/runbook.md,,Мониторинг,mixed,653,N/A,N/A
docs/_internal/to_refactoring/modules/backend-user/README.md,AquaStream Backend User Service,Описание,mixed,25814,N/A,N/A
docs/_internal/to_refactoring/modules/backend-user/backend-user-service/README.md,,Контекст,mixed,911,N/A,N/A
docs/_internal/to_refactoring/modules/backend-user/backend-user-service/changelog.md,,[Unreleased],mixed,515,N/A,N/A
docs/_internal/to_refactoring/modules/backend-user/backend-user-service/runbook.md,,Мониторинг,mixed,653,N/A,N/A
docs/_internal/to_refactoring/modules/frontend/README.md,,,mixed,1570,N/A,N/A
docs/_internal/to_refactoring/modules/frontend/aquastream-frontend-spec.md,AquaStream — бизнес‑постановка v1.1 (MVP),1. Назначение и контекст,mixed,21273,N/A,N/A
docs/_internal/to_refactoring/modules/frontend/changelog.md,,[Unreleased],mixed,515,N/A,N/A
docs/_internal/to_refactoring/modules/frontend/claude-ready-brief.md,,AquaStream Frontend — Claude‑ready бриф (v1),mixed,16492,N/A,N/A
docs/_internal/to_refactoring/modules/frontend/frontend-finalization-checklist.md,,"Финализация фронтенда: унификация, качество, контроль",mixed,7788,N/A,N/A
docs/_internal/to_refactoring/modules/frontend/frontend-hardening-unification.md,,"Доведение фронтенда до идеала: унификация, бест‑практики, очистка",mixed,9694,N/A,N/A
docs/_internal/to_refactoring/modules/frontend/runbook.md,,Мониторинг,mixed,653,N/A,N/A
docs/_internal/to_refactoring/modules/frontend/tailwind-shadcn-unification.md,,План унификации стилей: Tailwind CSS v4 + shadcn/ui,mixed,15461,N/A,N/A
docs/_internal/to_refactoring/modules/frontend/todos-fe.md,Frontend TODOs,,en,3841,N/A,N/A
docs/_internal/to_refactoring/ops/index.md,,,mixed,323,N/A,N/A
docs/_internal/to_refactoring/overview.md,,,mixed,706,N/A,N/A
docs/_internal/to_refactoring/reference/configuration.md,Конфигурация,,ru,28,N/A,N/A
docs/_internal/to_refactoring/reference/environment-variables.md,Переменные окружения,,mixed,123,N/A,N/A
docs/_internal/to_refactoring/reference/troubleshooting.md,Troubleshooting,,mixed,72,N/A,N/A
docs/_internal/to_refactoring/roadmap.md,,Ближайшие,mixed,266,N/A,N/A
docs/_internal/to_refactoring/roadmap/current-release.md,Текущий релиз,,mixed,72,N/A,N/A
docs/_internal/to_refactoring/roadmap/long-term-vision.md,Долгосрочное видение,,ru,43,N/A,N/A
docs/_internal/to_refactoring/roadmap/planned-features.md,Запланированные функции,,ru,49,N/A,N/A
docs/_internal/to_refactoring/roadmap/technical-debt.md,Технический долг,,ru,35,N/A,N/A
docs/_internal/to_refactoring/styleguides/api-design.md,Проектирование API,Обзор API контрактов,mixed,9328,N/A,N/A
docs/_internal/to_refactoring/styleguides/code-style.md,Стандарты кода,,ru,31,N/A,N/A
docs/_internal/to_refactoring/styleguides/database-conventions.md,Соглашения по БД,,ru,34,N/A,N/A
docs/_internal/to_refactoring/styleguides/documentation-style.md,Стиль документации,,mixed,76,N/A,N/A
docs/_internal/to_refactoring/styleguides/git-workflow.md,Git workflow,,en,16,N/A,N/A
docs/_internal/to_refactoring/styleguides/markdown_style.md,Компонент X,Обязательные требования,mixed,2394,N/A,N/A
docs/_internal/to_refactoring/styleguides/ui-ux-guidelines.md,UI/UX принципы,,mixed,26,N/A,N/A
docs/_internal/to_refactoring/styleguides/versioning.md,Политика версионирования документации,,mixed,1052,N/A,N/A
docs/api/index.md,,,mixed,2209,2025-09-23,egorovma
docs/architecture.md,,Обзор,mixed,7352,2025-09-29,egorovma
docs/backend/README.md,,Архитектура,mixed,2848,2025-09-29,egorovma
docs/backend/common/authentication.md,Глобальная аутентификация,Цель,mixed,1211,2025-09-29,egorovma
docs/backend/common/error-handling.md,Обработка ошибок,,mixed,94,2025-09-29,egorovma
docs/backend/crew/api.md,Crew API,,mixed,93,2025-09-23,egorovma
docs/backend/crew/business-logic.md,Crew — бизнес-логика,,mixed,38,2025-09-23,egorovma
docs/backend/crew/changelog.md,Crew — изменения,,mixed,117,2025-09-23,egorovma
docs/backend/crew/operations.md,Crew — операции,,mixed,109,2025-09-23,egorovma
docs/backend/event/api.md,Event API,,mixed,96,2025-09-23,egorovma
docs/backend/event/business-logic.md,Event — бизнес-логика,,mixed,39,2025-09-23,egorovma
docs/backend/event/changelog.md,Event — изменения,,mixed,120,2025-09-23,egorovma
docs/backend/event/operations.md,Event — операции,,mixed,112,2025-09-23,egorovma
docs/backend/gateway/api.md,Gateway API,,mixed,78,2025-09-23,egorovma
docs/backend/gateway/changelog.md,Gateway — изменения,,mixed,102,2025-09-23,egorovma
docs/backend/gateway/operations.md,Gateway — операции,,mixed,94,2025-09-23,egorovma
docs/backend/media/api.md,Media API,,mixed,96,2025-09-23,egorovma
docs/backend/media/business-logic.md,Media — бизнес-логика,,mixed,39,2025-09-23,egorovma
docs/backend/media/changelog.md,Media — изменения,,mixed,120,2025-09-23,egorovma
docs/backend/media/operations.md,Media — операции,,mixed,112,2025-09-23,egorovma
docs/backend/notification/api.md,Notification API,,mixed,117,2025-09-23,egorovma
docs/backend/notification/business-logic.md,Notification — бизнес-логика,,mixed,46,2025-09-23,egorovma
docs/backend/notification/changelog.md,Notification — изменения,,mixed,141,2025-09-23,egorovma
docs/backend/notification/operations.md,Notification — операции,,mixed,133,2025-09-23,egorovma
docs/backend/payment/api.md,Payment API,,mixed,102,2025-09-23,egorovma
docs/backend/payment/business-logic.md,Payment — бизнес-логика,,mixed,41,2025-09-23,egorovma
docs/backend/payment/changelog.md,Payment — изменения,,mixed,126,2025-09-23,egorovma
docs/backend/payment/operations.md,Payment — операции,Диагностика,mixed,712,2025-09-23,egorovma
docs/backend/user/README.md,,Назначение,mixed,2134,2025-09-29,egorovma
docs/backend/user/api.md,User API,,mixed,93,2025-09-23,egorovma
docs/backend/user/business-logic.md,User — бизнес-логика,Домены,mixed,541,2025-09-23,egorovma
docs/backend/user/changelog.md,User — изменения,,mixed,117,2025-09-23,egorovma
docs/backend/user/operations.md,User — операции,,mixed,109,2025-09-23,egorovma
docs/decisions/adr-0001-docs-stack.md,,Контекст,mixed,1623,2025-09-29,egorovma
docs/decisions/adr-0002-sync-module-docs.md,,Контекст,mixed,1285,2025-09-29,egorovma
docs/decisions/adr-0003-api-redoc.md,,Контекст,mixed,1279,2025-09-29,egorovma
docs/decisions/index.md,,,mixed,774,2025-09-29,egorovma
docs/development/build-guide.md,Руководство по сборке,Docs,mixed,11496,2025-09-29,egorovma
docs/development/local-development.md,Локальная разработка,Инфраструктура и запуск,mixed,600,2025-09-29,egorovma
docs/development/overview.md,Обзор,,mixed,357,2025-09-29,egorovma
docs/development/quick-start.md,Быстрый старт,,mixed,140,2025-09-29,egorovma
docs/development/setup.md,Development Setup,Требования,mixed,1399,N/A,N/A
docs/frontend/README.md,Frontend Overview,Технологический стек,mixed,1277,N/A,N/A
docs/frontend/components.md,Компоненты,,mixed,98,2025-09-23,egorovma
docs/frontend/design-playbook.md,Frontend Design Playbook,Назначение,mixed,8790,2025-09-29,egorovma
docs/frontend/design-tokens.md,Frontend Design Tokens,Типографика,mixed,789,2025-09-27,egorovma
docs/frontend/development-guide.md,Руководство по разработке,,mixed,118,2025-09-23,egorovma
docs/frontend/layout-primitives.md,Layout Primitives,Section,mixed,1372,2025-09-28,egorovma
docs/frontend/overview.md,Frontend — обзор,,mixed,68,2025-09-23,egorovma
docs/frontend/process.md,Frontend Process & Governance,PR-гигиена,mixed,2499,2025-09-29,egorovma
docs/frontend/routing.md,Маршрутизация,,ru,30,2025-09-23,egorovma
docs/frontend/shadcn-components.md,Shadcn UI Coverage,Layout & Structure,mixed,2852,2025-09-29,egorovma
docs/frontend/stack.md,Frontend Stack (Stable Baseline),Core Versions,mixed,3108,2025-09-29,egorovma
docs/frontend/state-management.md,Управление состоянием,,ru,45,2025-09-23,egorovma
docs/frontend/testing.md,Frontend Testing Guide,Команды,mixed,1651,2025-09-29,egorovma
docs/frontend/tooling.md,Frontend Tooling,Поддержка современных CSS-селекторов,mixed,4956,2025-09-29,egorovma
docs/index.md,,Быстрый старт для разработчиков,mixed,1322,2025-09-23,egorovma
docs/operations/README.md,Operations Overview,Обзор,mixed,1353,N/A,N/A
docs/operations/ci-cd.md,CI/CD,,mixed,5729,2025-09-29,egorovma
docs/operations/dependency-locking.md,Dependency Locking,Настройка,mixed,4023,2025-09-29,egorovma
docs/operations/deployment.md,Деплой,,mixed,66,2025-09-29,egorovma
docs/operations/environment-setup.md,Окружения,,ru,22,2025-09-29,egorovma
docs/operations/git-hooks.md,Git Hooks,Структура,mixed,4102,2025-09-29,egorovma
docs/operations/infrastructure.md,Инфраструктура,,mixed,90,2025-09-29,egorovma
docs/operations/issue-management.md,Issue management,Зачем нужны templates,mixed,2863,2025-09-29,egorovma
docs/operations/monitoring.md,Мониторинг,,ru,24,2025-09-29,egorovma
docs/operations/policies/code-of-conduct.md,Code of Conduct,,mixed,798,2025-09-29,egorovma
docs/operations/policies/security.md,Security Policy,Reporting a Vulnerability,mixed,2888,2025-09-29,egorovma
docs/operations/policies/support.md,Support,,mixed,315,2025-09-29,egorovma
docs/operations/version-management.md,Управление версиями,Обзор,mixed,5546,2025-09-29,egorovma
docs/qa/README.md,,Стратегия тестирования,mixed,3954,2025-09-29,egorovma
docs/qa/index.md,,,mixed,287,2025-09-22,egorovma
docs/quickstart.md,"Запуск PostgreSQL, Redis, Kafka через Docker Compose",Требования,mixed,2494,2025-09-29,egorovma
